Era,Lyrics
pre-1980,come on come on let me show you where its at ah come on come on let me show you where its at wow come on come on let me show you where its at i said the name of the place is i like it like that come on come on let me show you where its at ah come on come on let me show you where its at whoa i wanna show you come on let me show you where its at the name of the place is i like it like that they got a little place adown the track the name of the place is i like it like that you take sally and ill take sue and were gonna rock away all of our blues come on come on let me show you where its at oh come on come on let me show you where its at ah come on come on let me show you where its at the name of the place is i like it like that the last time i was down they lost my shoes they had some cat shoutin the blues the people was yellin and shoutin for more and all they kept sayin wasa go man go come on come on let me show you where its at ah come on come on let me show you where its at oh i wanna show you come on let me show you where its at i said the name of the place is i like it like that come on come on let me show you where its at ah come on come on let me show you where its at oh come on come on let me show you where its at the name of the place is i like it like that
1980s, welcome to the big time youre bound to be a star and even if you dont go all the way i know that youll go far this race is for rats it can turn you upside down aint no one you can count on in this sleazy little townoh no lots of promises in the dark dont you open your heartcause it dont mean nothin the words that they say no dont mean nothin these games that people play no it dont mean nothin no victim no crime no dont mean nothin till you sign it on that dotted linethe director smiles as you walk in the door he says i love your work babe but youre just not what were looking for its never what but who it is you know so easy to get stuck in all that california snowoh no take a good look around and youll find people tryin to mess with your mindbut it dont mean nothin the words that they say no dont mean nothin these games that people play no it dont mean nothin no victim no crime no dont mean nothin till you sign it on that dotted linehollywood can be so lonely make you the winner of a losing fight but the party is never over cause stars are always shining doesnt matter if its day or nightthe producer says let me change a line or two and a little bit of something can look awfully good to you and you want to scream but you gotta keep it all inside when youre trying to make a living there aint no such thing as prideoh no lots of promises in the dark dont you open your heartcause it dont mean nothin the words that they say no i dont mean nothin these games that people play no it dont mean nothin no victim no crime no i dont mean nothin till you sign it on that dotted linedont mean nothing dont mean nothing dont mean nothingdont mean nothing dont mean nothing dont mean nothing  
pre-1980, once i believed that when love came to me it would come with rockets bells and poetry but with me and you it just started quietly and grew and believe it or not now theres something groovy and good bout whatever we gotand its getting better growing stronger warm and wilder getting better everyday better everyday i dont feel all turned on and starry eyed i just feel a sweet contentment deep inside holding you at night just seems kind of natural and rightand its not hard to see that it isnt half of what its going to turn out to be cause its getting better growing stronger warm and wilder getting better everyday better everyday ba da da da da da da da da da da daand i dont mind waitin dont mind waitin cause no matter how long it takes the two of us know that its getting better growing stronger warm and wilder getting better everyday better everyday 
2000s, i took my love and i took it down climbed a mountain then i turned around and i saw my reflection in the snow covered hills well the landslide brought me downoh mirror in the sky what is love can the child within my heart rise above can i sail through the changing ocean tides can i handle the seasons of my lifeuh ah uh ah uh ahwell ive been afraid of changin cause i built my life around you but time makes you bolder children get older im getting older toowellwell ive been afraid of changin cause i built my life around you but time makes you bolder children get older im getting older toowell im getting older tooso take this love and take it down yeah and if you climb a mountain and ya turn around and if you see my reflection in the snow covered hills well the landslide brought me downand if you see my reflection in the snow covered hillswell maybe well maybe well maybethe landslide will bring you down 
pre-1980, do do do do do do do do do do do do do do do do do do do do do do do do do do do do do do do do tonight i want to give it all to you in the darkness theres so much i want to do and tonight i want to lay it at your feet cause girl i was made for you and girl you were made for mei was made for lovin you baby you were made for lovin me and i cant get enough of you baby can you get enough of metonight i want to see it in your eyes feel the magic theres something that drives me wild and tonight were gonna make it all come true cause girl you were made for me and girl i was made for youi was made for lovin you baby you were made for lovin me and i cant get enough of you baby can you get enough of mei was made for lovin you baby you were made for lovin me and i can give it all to you baby can you give it all to meoh cant get enough oh oh i cant get enough oh oh i cant get enough yeah hado do do do do do do do do do do do do do do do do do do do do do do do do do do do do do do doi was made for lovin you baby you were made for lovin me and i cant get enough of you baby can you get enough of meoh i was made you were made i cant get enough no i cant get enoughi was made for lovin you baby you were made for lovin me and i cant get enough of you baby can you get enough of mei was made for lovin you baby you were made for lovin me and i can give it all to you baby 
1980s,lets take a walk together near the ocean shore hand in hand you and i lets cherish every moment we have been given for time is passing by i often pray before i lay down by your side if you receive your calling before i awake could i make it through the night cherish the love we have we should cherish the life we live cherish the love cherish the life cherish the love cherish the love we have for as long as we both shall live cherish the love cherish the life cherish the love cherish the love we have we should cherish the life we live cherish the love cherish the life cherish the love cherish the love we have for as long as we both shall live cherish the love cherish the life cherish the love the world is always changing nothing stays the same but love was stand the test of time the next life that we live in remains to be seen will you be by my side i offen pray before i lay down by your side and if you receive your calling before i awake could i make it through the night cherish the love we have we should cherish the life we live cherish the love cherish the life cherish the love cherish the love we have for as long as we both shall live cherish the love cherish the life cherish the love cherish the love we have we should cherish the life we live cherish the love cherish the life cherish the love we have cherish the love we have for as long as we both shall live cherish the love cherish the life cherish the love cherish the love we have we should cherish the life we live cherish the love
2000s, ten miles from town and i just broke down spitting out smoke on the side of the road im out here alone just trying to get home to tell you i was wrong but you already know believe me i wont stop at nothing to see you so ive started runningall that im after is a life full of laughter as long as im laughing with you and i think that all that still matters is love ever after after the life weve been through cause i know theres no life after youlast time we talked the night that i walked burns like an iron in the back of my mind i must have been high to say you and i werent meant to be and just wasting my time oh why did i ever doubt you you know i would die here without youall that im after is a life full of laughter as long as im laughing with you and i think that all that still matters is love ever after after the life weve been through cause i know theres no life after youyou and i right or wrong theres no other one after this time spent alone its hard to believe that a man with sight could be so blind thinking about the better times mustve been out of my mind so im running back to tell youall that im after is a life full of laughter without you god knows what id do all that im after is a life full of laughter as long as im laughing with youand i think that all that still matters is love ever after after the life weve been through i know theres no life after you no theres no life after you no theres no life after you no theres no life after you no theres no life after you no theres no life after you no theres no life after you ya 
1980s,watching girls go passing by it aint that latest thing im just standing in a doorway im just trying to make some sense out of these girls go passing by the tales they tell of men im not waiting on a lady im just waiting on a friend a smile relieves a heart that grieves remember what i said im not waiting on a lady im just waiting on a friend just waiting on a friend im just waiting on a friend im just waiting on a friend dont need a whore i dont need no food dont need a virgin priest i need someone i can cry to i need someone to protect im making love and breaking hearts it is a game for youth im not waiting on a lady oh yeah im just waiting on a friend im just waiting on a friend im just waiting on a friend im just waiting on a friend im just waiting on a friend im just waiting on a friend im just waiting on a friend
2000s, oh hot damn this is my jam keep me partying till the am yall dont understand make me throw my hands in the ayer ayayer ayer ayayeroh hot damn this is my jam keep me partying till the am yall dont understand make me throw my hands in the ayer ayayer ayer ayayerhey this is my jam yall dont understand ill make you understand whats pumpin in my cd player player party all night like yayer yayer shawty got a hand in the ayer ayer make me want to take it da yer then i go here i go here is my song dj bring it back come in my zone i get paid for them couple bones the next wop until the early morn i need that crunk when im up in tha club even my when my chevy pull up on them dubs give me that drop yellow waist like a drug lil mama hot and she might show me love o hot damn celebrate to tha am i love it so much it got me sayinoh hot damn this is my jam keep me partying till the am yall dont understand make me throw my hands in the ayer ayayer ayer ayayeroh hot damn this is my jam keep me partying till the am yall dont understand make me throw my hands in the ayer ayayer ayer ayayerhey hey i might just start the wave like im at a ball game do my thang hands up high i got money in tha bank im so fly 747 pain rock it no stop it how i got my name baby keep poppin you might get tha fame walk tha red carpet wont see you the same i get tha stuntin forget my name start with me ride with me represent tha city vibe with me make me throw it up ma timid in tha club go ahead throw it up gotta wonder how much to show enough to stare stare im hood so its really unfair unfair shorty go ahead and get bare bare we aint gonna treat our city like the mayor mayoroh hot damn this is my jam keep me partying till the am yall dont understand make me throw my hands in the ayer ayayer ayer ayayer ayer ayayer ayer ayayer ayer ayayer ayer ayayeralright now stop ohoh put your hands in the ayer its a stick up stick up stick up its a stick up touch the ceiling baby put your hands in the put your hands up put your put your hands in the put your hands up to the sky wave em round and round and side to sideits a party shawty go and touch the roofand we got the bottles poppin so throw your hands in the ayer touch the ceiling babyfeel it feel it baby throw your hands upoh hot damn damn this is my jam jam keep me partying till the am yall dont understand make me throw my hands in the ayer ayayer ayer ayayer ayer ayayer ayer ayayer ayer ayayer ayer throw your hands up 
1990s, hip hop hooray ho hey hovinnie you drew a picture of my morning but you couldnt make my day hey im rockin and youre yawning but you never look my way hey im licking down you darlin in every single way hey your funny flow is foreign and a green cards on the waytreach this aint got shit to do wit shampoo but watch your head n shoulders brother older bold enough to fold ya yo i told ya a raid afraid of what i made plus played a funky fit so save ya flips plus tricks for that music plus the monkey bitvinnie triggas from the grilltown illtown some ask how it feels how the deal is that were real so were still around dont lamp wit a freestyle phantom aint tryin to be handsome shrinkin what ya thinkin cause im vampini live and die for hip hop this is hip hop for today i give props to hip hop so hip hop hooray ho hey hotreach you heard a lot about a brother gaining mo ground being low down i do the showdown wit any little ho round no i want to know who youre believing through youre funny reasons even when im sleeping you think im cheatin you said i know youre mr opp man yo pp man wont only see me man you shouldve known that i was wit if a bit when i aint hit it and step not to consider the rep heck i did your partner cause shes hot as a baker cause im naughty by nature not cause i hate cha you put your heart in a part of a part that spreads apart even though i forgave ya when you had a sparkyou try to act like something really big is missing even though my names graffiti written on your kitten i love black women always and disrespect aint the way lets start a family today hip hop hooray ho heyhip hop hip hip hop hip hip hop hooray theres many hungry hip hoppers one reason hip hops hip top today swerve what cha heard cause i aint bailing no hey aint choppin no crops but still growin every dayvinnie heres a thunder sound from the wonders found from the underground town down the hill feel how illtown drown smiles to frowns snatchin crowns from clowns beat downs are found dont know me dont come aroundtippy tippy tippy tippy sometimes creepin up i eat em up your style is older than lou rawls peace to this one and that one and them that way i shout out and i didnt miss one friend fools get foolish neither them or parker lewis knew us you could have crews wit shoes and cant step to us some kitty purr i call em sir too any trick that diss gets a curfew i put my projects for boots step through troops and leave proof my problem solvers name is mook i hittin woodys in a hoody peace to jesette jobete jojo genae and every hood gee thats right my fight is ill peace goes to lons and quest nice  smooth  cypress hill i live and die for hip hop this is hip hop of today i give props to hip hop so hip hop hoorayhoheyhosmooth it out now 
2000s, bed stay in bed the feeling of your skin locked in my head smoke smoke me broke i dont care im down for what you wantday drunk into the night wanna keep you here cause you dry my tears yeah summer lovin and fights how it is for us and its all becausenow if were talking body you got a perfect one so put it on me swear it wont take you long if you love me right we fuck for life on and on and onnow if were talking body you got a perfect one so put it on me swear it wont take you long if you love me right we fuck for life on and on and onlove give me love anything you want ill give it up lips lips i kiss bite me while i taste your fingertipsday drunk into the night wanna keep you here cause you dry my tears yeah summer lovin and fights how it is for us and its all becausenow if were talking body you got a perfect one so put it on me swear it wont take you long if you love me right we fuck for life on and on and onnow if were talking body you got a perfect one so put it on me swear it wont take you long if you love me right we fuck for life on and on and onbodies our baby making bodies we just use for fun bodies lets use them up til every little piece is gone lets go on and on and on lets go on and on lets gonow if were talking body you got a perfect one so put it on me swear it wont take you long if you love me right we fuck for life on and on and onnow if were talking body you got a perfect one so put it on me swear it wont take you long if you love me right we fuck for life on and on and onnow if were talking body put it on me if you love me right we fuck for life on and on and onnow if were talking body you got a perfect one so put it on me swear it wont take you long if you love me right we fuck for life on and on and on 
2000s, all right come on can you fill me in lets talk about iti was checking this girl next door when her parents went out she phoned said hey boy come on right around so i knock at the door you was standin with a bottle of red wine ready to pour dressed in long black satin and lace to the floor so i went in then we sat down start kissing caressing told me about jacuzzi sounded interesting so we jumped right in all calls diverted to answer phone please leave a message after the tone i mean me and her parents were kind of cool but they ran a fine line between me and you we were just doing things young people in love do parents tryna find out what we were up tosaying why were you creeping around late last night why did i see two shadows moving in your bedroom light now youre dressed in black when i left you were dressed in white can you fill me in calls diverted to answer phone red wine bottle half the contents gone when i returned jacuzzi turned on can you fill me inwhenever the coast was clear and shed ask me to come out id say hey girl come on right around so she knocked at the door i was standing with the keys in my hand to the 4x4 jumped in my ride checkin that nobody saw the club we went in we got down bounced bounced to the rhythm saw it was early morning thought wed better be leavin so i gave you my jacket for you to hold told you to wear it cause you felt cold i mean me and her didnt mean to break the rules i werent trying to play your mum and dad for fools we were just doing things young people in love do parents tryna find out what we were up tosaying why cant you keep your promises no more say youll be home by 12 come strolling in at 4 out went the girls but leaving with the boy next door can you fill me in wearing a jacket whos property said youd been queuing for a taxi but you left all your money on the tv can you fill me inall they seem to do is be checking up on you baby watchin our every move think some day they might approve babywhy were you creeping around late last night why did i see two shadows moving in your bedroom light now youre dressed in black when i left you were dressed in white can you fill me in calls diverted to answer phone red wine bottle half the contents gone when i returned jacuzzi turned on can you fill me in 
1990s, i wanna chill on sugar hill its so lovely so lovely azs for real oh hes for real hes for real its so lovely sipping on bubblyat times i window watch out the mariott zoning on owning coops foreign drop top coups and yachts guzzling straight shots if scotch formulating up plots to escape from salems lock cause its scorching hot making it hard trying to figure whos out to trap me pataki got all kinds of undercovers coming at me perhaps he wont be happy til they snatch me and place me where half us blacks be sitting in catsaki but never me see my destiny to be forever free in ecstasy on a hill that awaits for me so plush just to visualize is like a coke rush vivid enough to make living this a mustplus this is reali wanna chill on sugar hill its so lovely so lovely azs for real oh hes for real hes for real its so lovely sipping on bubblyno more cutting grams and wrapping grands up in rubber bands im a recovered man our plans to discover other lands suburban places got me seeking for oasis cristal by the cases ladies of all races with dime faces sex on the white sand beaches of saint thomas though this aint promised im as determined as them old timers i wanna villa in a costa rica so i can smoke my reefer and enjoy how life supposed to treat ya laid in the shades of the everglades finally forever paid wearing the finest fabrics tailors ever made me and my team caribbean cuisines i guess being down for so long im all in store to see my dreamsi wanna chill on sugar hill its so lovely so lovely azs for real oh hes for real hes for real its so lovely sipping on bubblyso until i see past the green pasture me being supreme master aint much more life to fiend after but another chapter a new way of life to adapt to cause these streetsll gas ya and have ya caught up in the rapture dÌ©jÌÊ vu i could vision my killer crew more hospitable consciously aware plus political cause though they claim that every man created equal whats his native people find it harder for nights to sleep through but once established we eating lovely living lavish like the house of versailles in paris i gotta have it it it so plush just to visualize is like a coke rush vivid enough to make living this a mustplus this is reali wanna chill on sugar hill its so lovely so lovely azs for real oh hes for real hes for real its so lovely sipping on bubblyi wanna chill on sugar hill azs for real hes for real its so lovely sipping on bubblyits so crazy im down wit az its so lovely sipping on bubbly its so crazy jones and az its so lovely sipping on bubbly i wanna chill on sugar hill baby i wanna chill on sugar hill baby i wanna chill i wanna chill i wanna chill on sugar hill baby sugar hill 
